ID_ALUNO,ANO,IAN,IDA,IEG,IAA,IPS,IPP,IPV,INDE_2024,DEFAS_UNICA,DELTA_IDA
RA-1000,2023,10.0,7.0,9.4,8.5,3.77,6.25,8.92,,0.0,
RA-1000,2024,10.0,7.75,9.5454545455,9.002,6.26,8.125,7.835,8.364790909100002,0.0,0.75
RA-1001,2023,5.0,7.8,9.1,9.0,7.52,7.5,9.17,,-1.0,
RA-1001,2024,5.0,7.75,9.347826087,7.502,7.51,7.916666667,7.92,7.7964318841,-1.0,-0.04999999999999982
RA-1002,2023,5.0,7.0,9.7,9.0,7.52,6.25,8.92,,-1.0,
RA-1002,2024,5.0,9.25,7.833333333500001,9.002,7.51,7.5,8.25,7.967866666700001,-1.0,2.25
RA-1003,2023,10.0,4.0,8.5,9.0,7.52,7.5,8.75,,0.0,
RA-1003,2024,5.0,8.25,8.6944444445,8.002,7.51,6.875,7.5,7.627588888900001,-1.0,4.25
RA-1004,2023,10.0,7.9,9.6,9.0,7.52,6.875,7.42,,0.0,
RA-1004,2024,5.0,7.5,9.25,9.502,7.51,7.5,7.5,7.801200000000001,-1.0,-0.40000000000000036
RA-1005,2023,10.0,8.8,7.9,9.5,7.52,7.5,8.165,,0.0,
RA-1006,2023,10.0,8.7,9.3,9.0,7.52,7.5,8.0,,0.0,
RA-1006,2024,5.0,5.0,8.4444444445,8.502,7.51,7.5,7.5,7.040088888900001,-1.0,-3.6999999999999993
RA-1007,2023,10.0,8.3,7.4,9.0,7.52,7.5,7.68,,0.0,
RA-1008,2023,10.0,8.4,8.6,9.0,7.52,5.9375,7.5,,0.0,
RA-1008,2024,5.0,7.0,6.483957219,7.002,7.51,7.1875,7.5,6.8667414438000005,-1.0,-1.4000000000000004
RA-1009,2023,10.0,8.8,9.0,0.0,3.77,7.5,7.84,,0.0,
RA-1009,2024,5.0,7.5,6.8863636365000005,8.002,2.51,6.5625,6.553333333,6.395389393900001,-1.0,-1.3000000000000007
RA-1010,2023,10.0,9.4,10.0,9.5,3.77,7.8125,8.59,,0.0,
RA-1011,2023,10.0,5.2,8.6,9.5,3.77,7.1875,7.675,,0.0,
RA-1012,2023,10.0,6.6,9.9,10.0,3.77,7.1875,7.845,,0.0,
RA-1012,2024,5.0,9.75,9.523809524,9.502,2.51,8.125,8.443333333,8.057128571400002,-1.0,3.1500000000000004
RA-1013,2023,10.0,8.3,9.6,9.0,4.39,5.625,5.76,,0.0,
RA-1013,2024,5.0,7.75,5.6937799039999994,9.002,2.51,5.0,4.72,5.7839559808,-1.0,-0.5500000000000007
RA-1014,2023,10.0,8.2,9.7,9.0,3.77,7.5,8.255,,0.0,
RA-1014,2024,5.0,5.25,7.8863636365000005,8.502,2.51,6.875,7.0,6.315972727300001,-1.0,-2.9499999999999993
RA-1015,2023,5.0,6.3,9.3,10.0,6.27,7.34375,7.786666667,,-1.0,
RA-1015,2024,10.0,4.0,7.8214285715,7.918,7.51,6.041666667,5.66,6.643252381000002,0.0,-2.3
