Gênero,Tipo de Escola,INDE 22,INDE 23,INDE 24,IAA,IEG,IPS,IPP,IDA,IPV,IAN,Defasagem
Masculino,Pública,0.0,0.0,7.611366666700001,10.002,8.6666666665,6.26,5.625,8.0,5.446666667,10.0,0
Feminino,Pública,0.0,0.0,8.002866666700001,10.002,9.3333333335,3.76,7.5,8.0,7.05,10.0,0
Masculino,Pública,0.0,0.0,7.952200000100001,10.002,9.0833333335,3.76,7.5,8.0,7.046666667,10.0,0
Masculino,Pública,0.0,8.63895,7.156366666600001,8.002,9.75,3.76,6.875,7.0,7.213333333,5.0,-1
Masculino,Pública,0.0,0.0,5.444199999900001,9.002,4.1666666665,3.76,5.0,7.5,4.173333333,5.0,-1
Feminino,Pública,0.0,0.0,8.0822,10.002,10.0,6.26,7.5,8.25,7.78,5.0,-1
Feminino,Pública,0.0,9.31095,8.959700000000002,9.502,10.0,7.51,8.125,10.0,9.73,5.0,-1
Masculino,Pública,0.0,8.2212,7.346677272700001,9.002,8.6136363635,7.51,7.1875,7.5,6.27,5.0,-2
Masculino,Pública,0.0,0.0,8.152624242500002,10.002,9.5454545455,6.26,7.5,8.5,8.336666667,5.0,-1
Feminino,Pública,0.0,0.0,7.982890909100001,7.918,9.5454545455,6.26,7.5,9.25,7.78,5.0,-1
Feminino,Pública,0.0,8.5397,8.2579575757,9.502,9.5454545455,6.26,7.5,9.5,8.113333333,5.0,-1
Feminino,Pública,0.0,8.4587,8.0345030302,10.002,8.818181818,6.26,7.5,8.75,8.223333333,5.0,-1
Feminino,Pública,0.0,0.0,7.8769272727000015,9.502,8.1136363635,6.26,7.5,9.25,7.89,5.0,-1
Masculino,Pública,0.0,8.8092,8.191290909100001,8.502,9.2954545455,6.26,7.5,9.75,8.28,5.0,-1
Masculino,Pública,0.0,8.6992,7.583018181800001,9.002,7.409090909,7.51,7.5,8.5,7.5,5.0,-1
Masculino,Pública,0.0,0.0,8.3033538462,10.002,9.230769231,7.51,7.5,9.0,8.28,5.0,-2
Feminino,Pública,0.0,7.8882,8.035957575700001,10.002,9.0454545455,6.26,7.5,8.75,8.003333333,5.0,-1
Feminino,Pública,0.0,0.0,8.3800152174,9.002,9.347826087,2.51,7.8125,10.0,7.89,10.0,0
Feminino,Pública,0.0,7.96495,8.057128571400002,9.502,9.523809524,2.51,8.125,9.75,8.443333333,5.0,-1
Feminino,Pública,0.0,0.0,8.156578882000002,10.002,8.830227742999998,2.51,7.5,8.0,8.946666667,10.0,0
Masculino,Pública,0.0,0.0,5.914801966800001,8.002,5.051759834,2.51,5.3125,7.0,4.61,10.0,0
Feminino,Pública,0.0,0.0,7.619650310500001,10.002,9.3064182195,2.51,8.125,7.75,8.223333333,5.0,-1
Feminino,Pública,0.0,0.0,7.9208899585,9.002,7.9813664595,2.51,7.1875,10.0,7.273333333,10.0,0
Feminino,Pública,0.0,0.0,7.2171722223,7.002,9.4444444445,7.51,5.9375,7.75,6.166666667,5.0,-1
Masculino,Pública,0.0,0.0,8.407200000000001,10.002,10.0,7.51,7.5,8.75,8.28,5.0,-1
Masculino,Pública,0.0,0.0,8.079200000000002,9.502,9.5,7.51,7.5,8.25,7.89,5.0,-1
Masculino,Pública,0.0,8.8252,8.2072,8.502,10.0,7.51,7.5,8.5,8.28,5.0,-1
Feminino,Pública,0.0,0.0,6.9031621211,7.502,4.7727272725,7.51,7.1875,8.25,7.893333333,5.0,-1
Feminino,Pública,0.0,0.0,8.005023232300001,8.002,9.4949494945,7.51,6.875,8.5,8.336666667,5.0,-1
Masculino,Pública,0.0,8.9182,8.1942,9.002,10.0,6.88,7.5,8.5,8.28,5.0,-1
Masculino,Pública,0.0,0.0,7.9493666666,9.502,10.0,7.51,6.875,7.75,7.553333333,5.0,-2
Masculino,Pública,0.0,7.245,6.395389393900001,8.002,6.8863636365000005,2.51,6.5625,7.5,6.553333333,5.0,-1
Masculino,Pública,0.0,7.6237,5.7839559808,9.002,5.6937799039999994,2.51,5.0,7.75,4.72,5.0,-1
Feminino,Pública,0.0,0.0,8.0617454545,10.002,9.5227272725,2.51,7.5,7.5,8.28,10.0,0
Feminino,Pública,0.0,0.0,7.0574222223000005,9.002,8.4444444445,2.51,7.5,6.5,8.336666667,5.0,-1
Masculino,Pública,0.0,5.92975,4.6684348484000004,8.502,3.159090909,2.51,4.6875,5.5,4.333333333,5.0,-1
Masculino,Pública,0.0,0.0,7.620247619000001,9.502,9.761904762,2.51,7.5,9.25,6.833333333,5.0,-1
Feminino,Pública,0.0,8.2582,6.315972727300001,8.502,7.8863636365000005,2.51,6.875,5.25,7.0,5.0,-1
Feminino,Pública,0.0,6.724,6.853080434800001,9.502,8.445652174,2.51,7.1875,6.5,7.22,5.0,-1
Feminino,Pública,0.0,8.6422,8.419200000000002,9.502,10.0,8.13,7.5,8.75,8.28,5.0,-1
Masculino,Pública,0.0,0.0,7.577287995300001,9.502,6.643356643500001,7.51,7.1875,6.75,7.393333333,10.0,0
Masculino,Pública,0.0,0.0,7.069727777800001,8.502,7.638888889,7.51,7.1875,6.5,7.11,5.0,-2
Feminino,Pública,0.0,8.140783333,7.6352,9.502,8.75,7.51,7.5,6.0,8.67,5.0,-1
Feminino,Pública,0.0,0.0,7.623866666600001,8.502,8.75,2.51,7.5,9.0,8.613333333,5.0,-1
Masculino,Pública,0.0,0.0,5.6345333333,9.502,2.9166666665000003,2.51,7.5,7.0,6.0,5.0,-1
Masculino,Pública,0.0,0.0,5.758866666800001,10.002,5.416666667,2.51,6.25,4.0,4.996666667,10.0,0
Feminino,Pública,0.0,0.0,8.8352,10.002,10.0,2.51,7.5,10.0,9.17,10.0,0
Feminino,Pública,0.0,0.0,7.085119934500001,9.002,7.9575163395,8.135,7.8125,6.0,6.493333333,5.0,-2
Feminino,Pública,0.0,0.0,6.685221929800001,8.502,8.710526316,2.51,7.8125,4.75,8.053333333,5.0,-1
Feminino,Pública,0.0,0.0,8.503033333400001,9.002,10.0,8.135,7.5,9.75,7.946666667,5.0,-1
Feminino,Pública,7.387203380952382,8.239866667,7.665116666600001,9.002,9.75,2.51,7.8125,9.25,7.163333333,5.0,-2
Masculino,Pública,6.330304030303031,8.117366667,7.0900771929,7.502,7.6710526315,7.51,7.5,7.25,6.773333333,5.0,-1
Feminino,Pública,0.0,7.0797,7.697103508700001,9.002,9.4736842105,7.51,8.125,7.25,6.943333333,5.0,-2
